,title,artist,top genre,year,added,bpm,Energy,Dance,dB,live,val,dur,acous,spch,pop
405,Wouldn't It Be Nice,The Beach Boys,baroque pop,1966,2023‑04‑30,125,63,39,-7,13,72,153,72,3,74
406,Through Da Storm,Polo G,chicago rap,2019,2023‑04‑30,74,49,71,-10,9,62,196,13,25,74
407,Good Life,OneRepublic,piano rock,2009,2023‑04‑30,95,69,63,-8,13,65,253,8,5,74
408,"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,neo mellow,2019,2023‑04‑30,113,54,64,-5,12,7,196,9,3,74
409,Over the Rainbow,Israel Kamakawiwo'ole,hawaiian,2001,2023‑04‑30,86,15,67,-14,8,66,212,91,4,74
410,Stolen Dance,Milky Chance,german pop,2014,2023‑04‑30,114,56,88,-9,8,69,314,41,4,74
411,"Comptine d'un autre été, l'après-midi",Yann Tiersen,bow pop,2001,2023‑04‑30,101,19,48,-15,11,5,141,99,5,74
412,I Know,Polo G,chicago rap,2020,2023‑04‑30,165,67,81,-5,8,56,177,9,28,74
413,Still Loving You,Scorpions,album rock,2011,2023‑04‑30,104,61,28,-5,10,8,403,0,3,74
414,Runaway,Bon Jovi,glam metal,1984,2023‑04‑30,152,90,48,-4,14,60,231,0,6,74
415,Patience,Guns N' Roses,glam metal,1987,2023‑04‑30,120,30,46,-13,11,33,355,69,3,74
416,Bed Of Roses,Bon Jovi,glam metal,1992,2023‑04‑30,165,60,31,-6,21,16,394,10,3,74
417,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,chicago soul,1967,2023‑04‑30,96,68,63,-7,9,94,179,32,4,73
418,Exit Music (For A Film),Radiohead,alternative rock,1997,2023‑04‑30,122,28,29,-11,17,20,267,22,3,73
419,Jessie's Girl,Rick Springfield,album rock,1981,2023‑04‑30,132,83,73,-6,11,82,194,17,5,73
420,Midnight City,M83,french shoegaze,2011,2023‑04‑30,105,71,53,-7,18,32,241,2,4,73
421,Everytime We Touch,Cascada,eurodance,2005,2023‑04‑30,142,98,63,-5,38,49,197,0,5,73
422,The Other Side,Hugh Jackman,hollywood,2017,2023‑04‑30,154,80,64,-8,15,31,214,0,30,73
423,Bulletproof,La Roux,alternative dance,2009,2023‑04‑30,123,88,67,-3,7,68,206,0,5,73
424,Body Like A Back Road,Sam Hunt,contemporary country,2017,2023‑04‑30,99,46,73,-7,14,66,165,45,3,73
425,I Need Your Love (feat. Ellie Goulding),Calvin Harris,edm,2012,2023‑04‑30,125,87,70,-5,24,58,235,41,5,73
426,Back To You,Selena Gomez,pop,2018,2023‑04‑30,102,68,60,-6,11,49,210,10,5,73
427,Wonderwall,Oasis,beatlesque,1995,2023‑04‑30,175,85,41,-6,13,46,259,0,4,73
428,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,uk dance,2021,2023‑04‑30,120,89,72,-3,7,44,117,4,5,73
429,Waves,Kanye West,chicago rap,2016,2023‑04‑30,96,59,56,-5,34,7,182,5,4,73
430,Super Gremlin,Kodak Black,florida drill,2022,2023‑04‑30,73,41,83,-7,36,11,201,0,14,73
431,Otis,JAY-Z,east coast hip hop,2011,2023‑04‑30,95,63,75,-5,50,43,178,55,31,73
432,Tunnel Vision,Kodak Black,florida drill,2017,2023‑04‑30,172,49,50,-8,12,23,268,6,29,73
433,Fine China,Future,atl hip hop,2018,2023‑04‑30,166,54,66,-7,13,55,142,5,32,73
434,I Love It (& Lil Pump),Kanye West,chicago rap,2018,2023‑04‑30,104,52,90,-8,26,33,128,1,33,73
435,Jumpman,Drake,canadian hip hop,2015,2023‑04‑30,142,55,85,-7,33,66,206,6,19,73
436,Famous,Kanye West,chicago rap,2016,2023‑04‑30,174,74,47,-4,10,41,196,7,12,73
437,Taste (feat. Offset),Tyga,hip hop,2018,2023‑04‑30,98,56,88,-7,10,34,233,2,12,73
438,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,melodic rap,2020,2023‑04‑30,140,44,66,-5,10,27,226,47,6,73
439,Lonely (with benny blanco),Justin Bieber,canadian pop,2020,2023‑04‑30,80,24,63,-7,12,9,149,86,4,73
440,Lost Boy,Ruth B.,alt z,2015,2023‑04‑30,124,6,71,-15,9,35,275,97,5,73
441,Gravity,John Mayer,neo mellow,2006,2023‑04‑30,124,33,75,-10,24,24,246,73,3,73
442,Skinny Love,Birdy,neo mellow,2011,2023‑04‑30,166,29,38,-8,12,17,201,95,5,73
443,Holy (feat. Chance The Rapper),Justin Bieber,canadian pop,2020,2023‑04‑30,87,70,67,-8,9,37,212,20,36,73
444,Paradise,Bazzi,pop,2019,2023‑04‑30,122,64,84,-6,11,59,169,8,5,73
445,Follow The Sun,Xavier Rudd,australian indie folk,2012,2023‑04‑30,124,39,61,-11,11,20,256,53,4,73
446,Fast,Juice WRLD,chicago rap,2019,2023‑04‑30,85,61,62,-6,11,26,209,43,4,73
447,Want You Bad,The Offspring,alternative metal,2000,2023‑04‑30,106,97,49,-4,31,61,203,0,5,73
448,House Of The Rising Sun,The Animals,album rock,1964,2023‑04‑30,117,58,30,-7,10,23,271,0,3,73
449,Angie,The Rolling Stones,album rock,1973,2023‑04‑30,136,55,43,-6,11,41,272,67,3,73
450,Lithium,Nirvana,grunge,1991,2023‑04‑30,123,66,68,-6,6,49,257,0,4,73
451,New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,alternative hip hop,2023,2023‑04‑30,108,92,70,-4,12,55,215,4,5,73
452,Always On My Mind,Elvis Presley,rock-and-roll,1973,2023‑04‑30,181,39,36,-14,12,50,218,75,3,72
453,Hot N Cold,Katy Perry,pop,2008,2023‑04‑30,132,84,71,-4,7,86,220,0,4,72
454,I Kissed A Girl,Katy Perry,pop,2008,2023‑04‑30,130,76,70,-3,13,70,180,0,7,72
455,I Follow Rivers - The Magician Remix,Lykke Li,art pop,2011,2023‑04‑30,122,70,79,-6,8,31,280,2,4,72
456,Marea (we’ve lost dancing),Fred again..,edm,2021,2023‑04‑30,123,78,76,-7,6,47,285,7,14,72
457,Play,K-391,nordic house,2019,2023‑04‑30,102,80,52,-5,9,17,168,10,4,72
458,Faded,Alan Walker,electro house,2015,2023‑04‑30,90,65,59,-5,11,17,213,3,3,72
459,The Ocean (feat. Shy Martin),Mike Perry,pop dance,2016,2023‑04‑30,90,57,63,-6,10,19,183,2,3,72
460,Smile (with The Weeknd),Juice WRLD,chicago rap,2020,2023‑04‑30,159,69,69,-7,12,31,196,22,13,72
461,Firework,Katy Perry,pop,2012,2023‑04‑30,124,83,64,-5,8,65,228,14,5,72
462,Ooh Ahh (My Life Be Like) [feat. Tobymac],Grits,christian hip hop,2002,2023‑04‑30,99,86,76,-4,28,82,233,12,7,72
463,Lonely Together (feat. Rita Ora),Avicii,edm,2017,2023‑04‑30,103,67,66,-5,7,27,182,13,6,72
464,Bad Things (with Camila Cabello),Machine Gun Kelly,ohio hip hop,2016,2023‑04‑30,138,69,70,-5,19,31,239,21,15,72
465,All Night,The Vamps,boy band,2016,2023‑04‑30,145,80,54,-5,33,51,198,0,4,72
466,Good Old Days (feat. Kesha),Macklemore,pop rap,2017,2023‑04‑30,123,51,71,-8,11,27,241,45,6,72
467,Dura,Daddy Yankee,latin hip hop,2018,2023‑04‑30,95,84,78,-3,41,84,200,17,5,72
468,The Bad Touch,Bloodhound Gang,alternative metal,1999,2023‑04‑30,123,74,83,-6,12,97,261,0,4,72
469,Lay All Your Love On Me,ABBA,europop,2008,2023‑04‑30,133,70,70,-6,25,58,273,2,3,72
470,4 Da Gang (with Roddy Ricch),42 Dugg,detroit trap,2021,2023‑04‑30,100,56,87,-10,10,69,156,1,19,72
471,Sanguine Paradise,Lil Uzi Vert,melodic rap,2019,2023‑04‑30,135,60,73,-7,11,21,244,9,7,72
472,FEFE,6ix9ine,emo rap,2018,2023‑04‑30,126,39,93,-9,14,38,179,9,41,72
473,First Day Out,Tee Grizzley,detroit hip hop,2017,2023‑04‑30,98,71,59,-6,13,38,255,17,42,72
474,iSpy (feat. Lil Yachty),KYLE,deep underground hip hop,2016,2023‑04‑30,75,65,75,-7,23,67,253,38,29,72
475,Only Time,Enya,celtic,2000,2023‑04‑30,83,25,42,-14,11,21,219,84,3,72
476,Easily,Bruno Major,,2016,2023‑04‑30,119,26,77,-9,14,36,210,49,5,72
477,From Now On,Hugh Jackman,hollywood,2017,2023‑04‑30,108,52,52,-10,59,8,350,0,4,72
478,Give Me Love,Ed Sheeran,pop,2011,2023‑04‑30,116,33,53,-10,11,11,526,69,5,72
479,All We Know,The Chainsmokers,electropop,2016,2023‑04‑30,90,59,66,-9,12,30,194,10,3,72
480,The Funeral,Band of Horses,chamber pop,2006,2023‑04‑30,122,76,32,-6,10,10,322,2,4,72
481,Blame It on the Boogie,The Jacksons,disco,1978,2023‑04‑30,113,64,77,-10,9,88,214,8,8,72
482,Ginza,J Balvin,reggaeton,2016,2023‑04‑30,102,81,73,-6,8,83,171,21,9,72
483,Keep The Wolves Away,Uncle Lucius,classic texas country,2012,2023‑04‑30,122,35,68,-10,11,14,276,52,3,72
484,Holiday / Boulevard of Broken Dreams,Green Day,modern rock,2004,2023‑04‑30,167,83,29,-3,30,45,493,0,4,72
485,Dirty Little Secret,The All-American Rejects,alternative metal,2005,2023‑04‑30,144,95,47,-4,57,46,194,0,4,72
486,Erase Me - Main,Kid Cudi,hip hop,2010,2023‑04‑30,186,63,69,-6,11,85,192,6,13,72
487,One (Remastered),Metallica,hard rock,1988,2023‑04‑30,103,69,44,-9,42,43,446,0,6,72
488,Crazy,Aerosmith,album rock,1993,2023‑04‑30,162,85,35,-5,14,49,317,5,4,72
489,Every Rose Has Its Thorn - Remastered 2003,Poison,album rock,1988,2023‑04‑30,140,64,53,-6,37,29,260,16,3,72
490,I'm Shipping Up To Boston,Dropkick Murphys,boston punk,2005,2023‑04‑30,129,93,45,-3,23,60,154,0,8,72
491,Paranoid Android,Radiohead,alternative rock,1997,2023‑04‑30,164,85,25,-7,5,21,387,4,6,71
492,Never Going Home,Kungs,edm,2021,2023‑04‑30,122,85,84,-5,6,94,170,9,4,71
493,Music Sounds Better With You,Stardust,,1998,2023‑04‑30,124,72,74,-7,38,36,403,0,34,71
494,Over My Head (Cable Car),The Fray,neo mellow,2005,2023‑04‑30,116,73,59,-4,7,71,236,2,4,71
495,Your Love Is My Drug,Kesha,dance pop,2010,2023‑04‑30,120,61,83,-4,9,76,187,1,10,71
496,Crooked Smile (feat. TLC),J. Cole,conscious hip hop,2013,2023‑04‑30,81,78,61,-6,69,48,279,44,27,71
497,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,modern rock,2018,2023‑04‑30,90,66,63,-8,11,24,211,0,3,71
498,Solo (feat. Demi Lovato),Clean Bandit,pop,2018,2023‑04‑30,105,64,74,-5,35,56,223,4,4,71
499,SUBEME LA RADIO,Enrique Iglesias,dance pop,2017,2023‑04‑30,91,82,69,-3,24,66,208,6,5,71
500,Despacito - Remix,Luis Fonsi,latin pop,2017,2023‑04‑30,178,80,65,-4,7,86,230,23,18,71
501,Freaky Friday (feat. Chris Brown),Lil Dicky,comedy rap,2018,2023‑04‑30,133,60,76,-5,11,76,217,15,22,71
502,Talkin' Bout a Revolution,Tracy Chapman,folk,1988,2023‑04‑30,119,73,56,-6,8,67,162,33,3,71
503,All I Wanna Do,Sheryl Crow,lilith,1993,2023‑04‑30,120,53,82,-11,26,93,272,11,3,71
504,True Colors,Cyndi Lauper,dance pop,1986,2023‑04‑30,171,21,40,-13,12,27,228,70,3,71
505,What's Love Got to Do with It,Tina Turner,new wave pop,1993,2023‑04‑30,98,41,85,-12,9,79,227,22,7,71
506,ABC,The Jackson 5,motown,1970,2023‑04‑30,188,79,57,-8,11,95,175,52,6,71
507,Distraction,Polo G,chicago rap,2022,2023‑04‑30,157,69,71,-6,14,63,171,16,26,71
508,GOOBA,6ix9ine,emo rap,2020,2023‑04‑30,178,69,61,-6,25,39,132,3,34,71
509,Suge,DaBaby,hip hop,2019,2023‑04‑30,75,66,88,-6,13,84,163,6,43,71
510,Ballin,Logic,conscious hip hop,2018,2023‑04‑30,151,85,74,-6,9,65,166,5,22,71
511,Cinderella Man,Eminem,detroit hip hop,2010,2023‑04‑30,86,91,68,-3,8,69,279,23,20,71
512,The Show Goes On,Lupe Fiasco,chicago rap,2011,2023‑04‑30,143,89,59,-4,16,65,240,2,12,71
513,Panda,Desiigner,pop rap,2016,2023‑04‑30,145,77,58,-5,37,24,247,3,45,71
514,ALWAYS DO,The Kid LAROI,australian hip hop,2020,2023‑04‑30,168,43,76,-7,9,58,152,4,11,71
515,Saturday Nights,Khalid,pop,2018,2023‑04‑30,168,44,55,-9,11,34,211,61,10,71
516,Bella,Wolfine,colombian pop,2017,2023‑04‑30,94,49,91,-7,13,84,197,13,7,71
517,I Won't Give Up,Jason Mraz,acoustic pop,2012,2023‑04‑30,133,30,48,-10,12,14,240,69,4,71
518,Let It Go,James Bay,neo mellow,2014,2023‑04‑30,147,31,55,-10,11,25,261,82,3,71
519,Praying,Kesha,dance pop,2017,2023‑04‑30,73,39,54,-7,11,30,230,49,3,71
520,Livin It Up (with Post Malone & A$AP Rocky),Young Thug,atl hip hop,2021,2023‑04‑30,83,31,77,-12,11,77,211,84,8,71
521,Day 'N' Nite (nightmare),Kid Cudi,hip hop,2009,2023‑04‑30,138,44,87,-6,11,80,221,50,8,71
522,Don't Worry Be Happy,Bobby McFerrin,a cappella,1988,2023‑04‑30,69,17,68,-23,5,75,294,88,17,71
523,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,classical,2007,2023‑04‑30,171,1,18,-37,17,15,315,100,4,71
524,Holiday,Green Day,modern rock,2017,2023‑04‑30,147,89,55,-3,89,72,233,0,3,71
525,These Nights,Loud Luxury,edm,2022,2023‑04‑30,120,71,64,-6,15,21,132,0,5,71
526,Over the Hills and Far Away - Remaster,Led Zeppelin,album rock,1973,2023‑04‑30,97,69,40,-10,10,21,291,7,7,71
527,Love Generation - Radio Edit,Bob Sinclar,disco house,2005,2023‑04‑30,128,87,72,-4,8,54,205,19,6,70
528,Around the World (La La La La La) - Radio Version,A Touch Of Class,europop,2000,2023‑04‑30,132,98,62,-7,13,68,215,15,3,70
529,Hardest To Love,The Weeknd,canadian contemporary r&b,2020,2023‑04‑30,81,61,47,-8,13,11,211,9,7,70
530,What's Love Got to Do with It,Kygo,edm,2020,2023‑04‑30,105,66,75,-6,6,62,208,28,15,70
531,broken,lovelytheband,modern alternative rock,2018,2023‑04‑30,123,73,67,-6,4,51,205,0,4,70
532,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,emo rap,2018,2023‑04‑30,105,72,70,-5,13,29,199,3,4,70
533,Happy Now,Kygo,edm,2018,2023‑04‑30,118,57,69,-7,25,49,211,37,8,70
534,Paris,The Chainsmokers,electropop,2017,2023‑04‑30,100,64,65,-7,9,25,222,2,3,70
535,"Hakuna Matata - From ""The Lion King"" Soundtrack",Nathan Lane,movie tunes,1994,2023‑04‑30,170,31,41,-18,12,73,214,62,14,70
536,Keep Your Head Up,Andy Grammer,neo mellow,2011,2023‑04‑30,90,78,67,-5,14,82,190,5,4,70
537,Bailando - Spanish Version,Enrique Iglesias,dance pop,2014,2023‑04‑30,91,78,72,-4,5,96,243,4,11,70
538,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,alt z,2017,2023‑04‑30,121,87,70,-5,10,73,194,15,3,70
539,Sunny,Boney M.,europop,1976,2023‑04‑30,122,87,65,-6,13,80,242,9,11,70
540,Home,Edward Sharpe & The Magnetic Zeros,double drumming,2009,2023‑04‑30,112,59,54,-7,18,14,303,29,3,70
541,Teenage Dirtbag,Wheatus,,2000,2023‑04‑30,95,84,62,-4,18,57,242,36,5,70
542,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,london rap,2021,2023‑04‑30,141,67,88,-8,7,73,278,21,36,70
543,Ayy Macarena,Tyga,hip hop,2019,2023‑04‑30,96,63,82,-6,7,71,132,13,23,70
544,Relationship (feat. Future),Young Thug,atl hip hop,2017,2023‑04‑30,146,60,84,-6,12,30,215,0,6,70
545,Right Above It,Lil Wayne,hip hop,2010,2023‑04‑30,76,84,38,-4,58,46,272,4,36,70
546,Please Don't Go,Joel Adams,australian pop,2015,2023‑04‑30,84,77,51,-5,29,24,211,1,6,70
547,Young Hearts Run Free,Candi Staton,southern soul,1976,2023‑04‑30,115,65,65,-9,20,85,248,13,4,70
548,Reborn,KIDS SEE GHOSTS,rap,2018,2023‑04‑30,100,60,59,-7,20,23,325,34,4,70
549,Civil War,Guns N' Roses,glam metal,1991,2023‑04‑30,140,79,34,-9,32,38,462,8,7,70
550,Cryin',Aerosmith,album rock,1993,2023‑04‑30,106,81,45,-4,27,54,309,0,3,70
551,I'll Be There For You,Bon Jovi,glam metal,1988,2023‑04‑30,73,73,44,-5,10,23,347,5,3,70
552,Rue des trois frères,Fabrizio Paterlini,compositional ambient,2010,2023‑04‑30,139,17,35,-18,10,11,111,96,4,70
553,Clouds,BUNT.,,2023,2023‑04‑30,130,75,70,-8,10,15,159,23,8,69
554,One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,Asaf Avidan,israeli pop,2012,2023‑04‑30,119,67,83,-6,17,53,215,22,6,69
555,Someday,The Strokes,alternative rock,2001,2023‑04‑30,106,52,54,-7,37,68,183,0,3,69
556,Happy Now,Zedd,complextro,2018,2023‑04‑30,88,74,50,-5,7,46,207,58,5,69
557,Ocean (feat. Khalid),Martin Garrix,dutch edm,2018,2023‑04‑30,140,69,51,-7,9,22,216,58,4,69
558,I Miss You (feat. Julia Michaels),Clean Bandit,pop,2017,2023‑04‑30,105,62,69,-7,10,37,206,30,4,69
559,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,dance pop,2005,2023‑04‑30,125,81,90,-7,5,81,227,3,12,69
560,Light It Up - Remix,Major Lazer,dance pop,2015,2023‑04‑30,108,88,75,-4,23,75,166,4,7,69
561,Cold Water,Major Lazer,dance pop,2016,2023‑04‑30,93,80,61,-5,16,50,185,7,4,69
562,Shape of You,Ed Sheeran,pop,2017,2023‑04‑30,96,65,83,-3,9,93,234,58,8,69
563,I'm Every Woman,Chaka Khan,disco,1978,2023‑04‑30,114,89,60,-7,30,73,250,4,5,69
564,Eternal Flame,The Bangles,album rock,2004,2023‑04‑30,79,36,53,-7,9,40,238,53,2,69
565,Blow Me (One Last Kiss),P!nk,dance pop,2012,2023‑04‑30,114,92,60,-3,28,73,256,0,4,69
566,Bad Reputation,Joan Jett & the Blackhearts,glam punk,1981,2023‑04‑30,204,97,38,-4,6,82,169,0,19,69
567,Freaks - Radio Edit,Timmy Trumpet,australian dance,2014,2023‑04‑30,128,97,88,-1,21,76,169,1,13,69
568,Drop That Low (When I Dip),Tujamo,dutch house,2016,2023‑04‑30,126,90,59,-4,12,10,160,1,37,69
569,Camelot,NLE Choppa,memphis hip hop,2019,2023‑04‑30,175,71,79,-5,72,76,149,8,40,69
570,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,hip hop,2018,2023‑04‑30,122,69,86,-4,11,49,324,37,17,69
571,The Ringer,Eminem,detroit hip hop,2018,2023‑04‑30,119,55,94,-9,19,42,338,3,29,69
572,Numb / Encore,JAY-Z,east coast hip hop,2004,2023‑04‑30,107,80,69,-4,55,80,205,6,16,69
573,Rich & Sad,Post Malone,dfw rap,2018,2023‑04‑30,152,57,60,-5,10,28,206,20,7,69
574,Fight Night,Migos,atl hip hop,2014,2023‑04‑30,90,71,87,-5,33,90,216,18,21,69
575,Battle Scars (with Guy Sebastian),Lupe Fiasco,chicago rap,2012,2023‑04‑30,168,81,52,-5,11,49,250,19,29,69
576,4th Dimension,KIDS SEE GHOSTS,rap,2018,2023‑04‑30,172,54,77,-7,61,73,153,28,39,69
577,J't'emmène au vent,Louise Attaque,chanson,1997,2023‑04‑30,137,77,57,-6,10,60,184,25,4,69
578,By and By,Caamp,indie folk,2019,2023‑04‑30,101,47,58,-8,12,33,281,80,3,69
579,Rivers and Roads,The Head And The Heart,folk-pop,2010,2023‑04‑30,136,18,49,-10,8,18,284,70,3,69
580,Sick and Tired (ft. Machine Gun Kelly and Travis Barker),iann dior,melodic rap,2020,2023‑04‑30,145,49,75,-9,15,48,144,15,5,69
581,Graduation (with Juice WRLD),benny blanco,pop,2019,2023‑04‑30,155,65,73,-5,12,61,178,11,27,69
582,Sweetness,Jimmy Eat World,alternative metal,2001,2023‑04‑30,135,90,49,-4,26,60,220,0,4,69
583,Move Along,The All-American Rejects,alternative metal,2005,2023‑04‑30,110,92,52,-4,29,65,239,0,5,69
584,Seve - Radio Edit,Tez Cadey,tropical house,2015,2023‑04‑30,121,83,74,-7,8,45,211,44,5,69
585,No One Like You,Scorpions,album rock,1982,2023‑04‑30,118,63,51,-10,14,84,237,2,4,69
586,Following the Sun,SUPER-Hi,,2021,2023‑04‑30,127,83,73,-4,14,72,205,40,3,69
587,Push The Feeling On - Mk Dub Revisited Edit,Nightcrawlers,disco house,1995,2023‑04‑30,123,50,79,-13,19,83,243,3,3,68
588,Last Nite,The Strokes,alternative rock,2001,2023‑04‑30,104,90,62,-6,10,79,193,2,3,68
589,Love Me Again,John Newman,dance pop,2013,2023‑04‑30,126,89,50,-5,10,21,240,0,4,68
590,Drown (feat. Clinton Kane),Martin Garrix,dutch edm,2020,2023‑04‑30,120,74,57,-5,18,36,174,21,6,68
591,gone girl,iann dior,melodic rap,2019,2023‑04‑30,95,71,68,-6,7,36,137,16,3,68
592,The Days,Avicii,edm,2014,2023‑04‑30,127,72,59,-3,14,53,278,4,4,68
593,Stargazing,Kygo,edm,2017,2023‑04‑30,99,50,68,-6,9,42,237,15,8,68
594,Madre Tierra (Oye),Chayanne,latin pop,2014,2023‑04‑30,125,95,70,-4,25,80,206,2,6,68
595,Mama Said,Lukas Graham,danish pop,2015,2023‑04‑30,84,80,71,-5,37,59,207,4,7,68
596,It Ain’t Me (with Selena Gomez),Kygo,edm,2017,2023‑04‑30,100,53,64,-7,9,52,221,12,7,68
597,"I Will Survive - Original 7"" Version",Gloria Gaynor,disco,1993,2023‑04‑30,116,54,78,-15,33,65,198,4,5,68
598,Astronomia,Vicetone,edm,2016,2023‑04‑30,126,95,65,-3,44,33,198,1,10,68
599,Act Up,City Girls,scam rap,2018,2023‑04‑30,97,64,94,-5,11,31,158,2,19,68
600,Shots,Lil Tecca,melodic rap,2019,2023‑04‑30,108,58,83,-6,8,51,109,53,4,68
601,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,2019,2023‑04‑30,98,52,78,-9,16,21,200,2,21,68
602,Ayy Ladies (feat. Tyga),Travis Porter,atl hip hop,2012,2023‑04‑30,96,78,91,-4,6,80,211,10,16,68
603,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,chicago rap,2016,2023‑04‑30,135,80,65,-5,12,79,305,16,17,68
604,Donald Trump,Mac Miller,hip hop,2011,2023‑04‑30,82,94,72,-5,37,80,165,3,12,68
605,Everyday,Logic,conscious hip hop,2018,2023‑04‑30,150,74,67,-4,8,42,205,4,4,68
606,How Could You Leave Us,NF,hip hop,2016,2023‑04‑30,78,71,54,-8,10,9,323,51,76,68
607,Mercy,Brett Young,contemporary country,2017,2023‑04‑30,72,37,64,-8,10,22,217,84,3,68
608,7 Years (Remix),Sik World,rap,2016,2023‑04‑30,120,61,81,-8,10,44,134,23,10,68
609,Tommy Lee (feat. Post Malone),Tyla Yaweh,cali rap,2020,2023‑04‑30,85,62,46,-6,9,63,225,22,14,68
610,How To Love,Lil Wayne,hip hop,2011,2023‑04‑30,154,66,64,-6,11,27,240,0,4,68
611,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,pop,2018,2023‑04‑30,125,54,85,-7,13,45,236,57,5,68
612,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Frédéric Chopin,classical,2000,2023‑04‑30,164,0,23,-31,7,19,259,99,5,68
613,Young Forever,JAY-Z,east coast hip hop,2009,2023‑04‑30,140,69,64,-3,21,10,254,42,7,68
614,Don't Look Back In Anger,Oasis,beatlesque,1995,2023‑04‑30,164,92,35,-4,10,21,288,3,7,68
615,Where Did Our Love Go,The Supremes,adult standards,1964,2023‑04‑30,135,49,57,-11,9,85,153,79,4,67
616,Let Down,Radiohead,alternative rock,1997,2023‑04‑30,102,68,35,-9,18,14,300,0,3,67
617,Final Song,MØ,danish pop,2016,2023‑04‑30,105,67,70,-6,8,25,236,1,3,67
618,Remind Me to Forget,Kygo,edm,2018,2023‑04‑30,99,51,69,-6,14,32,217,19,10,67
619,Easy Love,Sigala,dance pop,2018,2023‑04‑30,124,94,68,-4,12,65,230,18,6,67
620,No Sleep,Wiz Khalifa,hip hop,2011,2023‑04‑30,160,71,65,-6,44,77,191,11,6,67
621,UCLA,RL Grime,brostep,2018,2023‑04‑30,140,88,54,-3,8,33,192,7,6,67
622,You Make Me,Avicii,edm,2013,2023‑04‑30,125,73,59,-5,15,50,233,0,4,67
623,Feel Good (feat. Daya),Gryffin,edm,2017,2023‑04‑30,138,71,63,-5,21,48,248,22,3,67
624,Ruin My Life,Zara Larsson,pop,2018,2023‑04‑30,125,70,67,-5,10,59,191,42,6,67
625,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,colombian pop,2010,2023‑04‑30,127,91,70,-4,15,62,202,0,25,67
626,Weak,AJR,pov: indie,2016,2023‑04‑30,124,64,67,-5,19,70,201,12,5,67
627,You Gotta Be,Des'ree,europop,1994,2023‑04‑30,94,67,62,-10,11,49,245,21,4,67
628,Epidemic,Polo G,chicago rap,2020,2023‑04‑30,176,62,62,-8,18,48,177,13,52,67
629,223's (feat. 9lokknine),YNW Melly,melodic rap,2019,2023‑04‑30,95,55,93,-8,9,70,177,4,33,67
630,Emotionless,Drake,canadian hip hop,2018,2023‑04‑30,173,68,41,-5,8,9,302,2,25,67
631,44 More,Logic,conscious hip hop,2018,2023‑04‑30,140,58,82,-7,11,22,189,7,22,67
632,Do What I Want,Lil Uzi Vert,melodic rap,2016,2023‑04‑30,140,70,68,-6,21,40,175,11,8,67
633,Forever,Drake,canadian hip hop,2009,2023‑04‑30,158,93,42,-1,26,54,357,25,37,67
634,All Me,Drake,canadian hip hop,2013,2023‑04‑30,122,52,67,-7,25,42,271,7,40,67
635,Seeing Blind,Niall Horan,pop,2017,2023‑04‑30,94,56,72,-8,11,48,185,4,4,67
636,Sad Song (feat. Elena Coats),We The Kings,neon pop punk,2013,2023‑04‑30,85,53,51,-5,7,25,226,7,3,67
637,Superficial Love,Ruth B.,alt z,2015,2023‑04‑30,44,24,48,-9,8,49,208,93,5,67
638,Big Girls Don't Cry (Personal),Fergie,dance pop,2006,2023‑04‑30,113,64,71,-4,9,25,268,20,3,67
639,Not Over You,Gavin DeGraw,neo mellow,2011,2023‑04‑30,142,89,63,-5,18,36,219,26,5,67
640,Photograph,Ed Sheeran,pop,2013,2023‑04‑30,108,38,61,-10,10,20,259,61,5,67
641,All You Need Is Love - Remastered 2009,The Beatles,beatlesque,1967,2023‑04‑30,103,48,40,-8,16,65,230,35,3,67
642,A Drop in the Ocean,Ron Pope,neo mellow,2008,2023‑04‑30,73,39,45,-9,28,56,220,79,4,67
643,Du & Jag,Einár,swedish gangsta rap,2023,2023‑04‑30,100,51,81,-7,18,69,132,30,23,67
644,Hon dansar vidare i livet,Hov1,fotbollslatar,2018,2023‑04‑30,90,65,66,-7,13,78,249,3,12,67
